Model Number,Model Name,Color,Connectivity,OS,Operating System Version,RAM,Voice Call,Display Size,Sales Package,Display Resolution,Primary Camera,Internal Storage,Processor Speed,Sim Type,Warranty Summary,Display Resolution Type,Display Supported Network,Processor Type,Series,Additional Features,Sim Size,Multi-touch,Sensors,ROM,Battery Capacity,Document Viewer,E-mail,Secondary Camera,Video Recording Resolution,Video Recording,Full HD Recording,HD Recording,Flash,Other Camera Features,2G,3G,Edge,GPRS,Bluetooth Version,USB,Browser,Headphone Jack,Wi-fi Version,Other Connectivity Features,Other Display Features,Display Type,Video Formats Supported,Full HD Playback,HD Playback,Video Playback,Audio Formats Supported,GPS Support,GPS Type,Map Support,Expandable Storage Capacity,Memory Card Slot Type,Memory Card Support,Warranty,Warranty Service Type,Domestic Warranty,Covered in Warranty,Not Covered in Warranty,Warranty Period,Supported Network,Battery Type,Touch Screen Type,Display PPI,Battery Features,RAM Type,Digital Zoom,MRP Price,Discount,Discounted_price,Brand
IRA_S1,IRA_S1,Grey,Wi-Fi Only,Android,Android 10 (Google GMS Certified),2 GB,Yes,17.78 cm (7 inch),"Tablet,USB Cable,Documentation,Charging Power Adapter,User guide.",1024 x 600$$pixel pixels,2 megapixels,16 GB,1.5 GHz,No Sim,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I kall
MP272HN/A,iPad,Silver,Wi-Fi+4G,iOS,10,,No,24.64 cm (9.7 inch),"iPad, Lightning to USB Cable, USB Power Adapter, User Manual, Warranty Card",2048 x 1536 Pixels,8 Megapixels,128 GB,,Single Sim,"1 Year on Tablet, 6 Months on Accessories",Full HD,LTE,A9 Chip with 64-bit Architecture with Embedded M9 Co-processor,,"Built-in Stereo Speakers, Digital Compass, Fingerprint Identity Sensor Built into the Home Button, Siri, Operating Ambient Temperature: 0 Degree to 35 Degree C, Non-operating Temperature: -20 Degree to 45 Degree C, Relative Humidity: 5% to 95% Non-condensing, Operating Altitude: Tested Upto 3000 Metres (10000 Feet)",Nano Sim,Yes,"Touch ID, Three-axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",128 GB,,Yes,Yes,1.2 Megapixels,1920 x 1080 pixels,Yes,Yes,Yes,,"Rear Camera: Autofocus, Panorama, HDR, Exposure Control, Burst Mode, Tap to Focus, Timer Mode, f/2.4 Aperture, Five-element Lens, Hybrid IR Flter, Backside Illumination, Auto Image Stabilisation, Face Detection, Photo Geotagging, Video Image Stabilisation, Slow Motion (120 fps), 3x Video Zoom, Video Geotagging, Front Camera: F/2.2 Aperture, 720p HD Video Recording, Backside Illumination, Face Detection, Burst Mode, Exposure Control, Timer Mode",Yes,Yes,Yes,,v4.2,"Yes, Lightning to USB",Safari,3.5 mm,802.11 a/b/g/n/ac,"Bluetooth Support, Lightning","LED Backlit Display with IPS Technology, Fingerprint-resistant Oleophobic Coating",Retina Display,"MPEG‑4, H.264, MP4, Mov",,,Yes,"AAC, MP3, AIFF, WAV",Yes,"A-GPS, GLONASS",Maps,,,No,,Carry In,,Manufacturing defects,Physical Damage,,"GSM, WCDMA, 4G LTE",Lithium Polymer,,264 ppi,,,,,,,Spinup
Galaxy Tab 3 T211,Galaxy Tab 3 T211,Midnight Black,Wi-Fi+3G,Android,4.1 (Jelly Bean),1 GB,Yes,17.78 cm (7 inch),"Bluetooth Headset, Tablet, Data Cable, Travel Adapter",1024 x 600 pixels,3 megapixels,8 GB,1.2 GHz,Single Sim,,SD,GSM,Dual Core,,,,Yes,"Light Sensor, Proximity Sensor, Accelerometer, Geo-magnetic Sensor",,4000 mAh,,Yes,1.3 megapixels,,Yes,,,,"Shot Mode, Framed Photos",Yes,Yes,Yes,Yes,3,"Yes, USB 2.0",Android,3.5 mm,802.11 a/b/g/n,"Wi-Fi Hotspot, Wi-Fi Direct, DLNA Support",,TFT,"MPEG4, H.263, DivX, H.264, WMV",Yes,Yes,Yes,"WAV, FLAC, MP3, AC-3, apt-X, AAC, AAC+, AMR-WB, WMA, AMR-NB, eAAC+, OGG",Yes,"A-GPS, GLONASS",Google Maps,32 GB,microSD,Yes,12 months,,,,,12 months,UMTS,Lithium - Ion,Capacitive,,4000 mAh,,,,,,APPLE
Galaxy Tab 3 T211,Galaxy Tab 3 T211,White,Wi-Fi+3G,Android,4.1 (Jelly Bean),1 GB,Yes,17.78 cm (7 inch),"Bluetooth Headset, Data Cable, Tablet, Travel Adapter",1024 x 600 pixels,3 megapixels,8 GB,1.2 GHz,Single Sim,"1 Year Manufacturer Warranty for the Tablet, 6 Months Manufacturer Warranty for Other Inbox Accessories",SD,GSM,Dual Core,,,,,"Light Sensor, Geo-magnetic Sensor, Accelerometer, Proximity Sensor",,4000 mAH,,Yes,1.3 megapixels,,Yes,,,,"Shot Mode, Framed Photos",Yes,Yes,Yes,Yes,3,"Yes, USB 2.0",Android,3.5 mm,802.11 a/b/g/n,"Wi-Fi Hotspot, Wi-Fi Direct, DLNA Support",Multi-touch,TFT,"H.263, H.264, WMV, MPEG4, DivX",Yes,Yes,Yes,"MP3, WMA, AMR-NB, AAC+, FLAC, WAV, AC-3, AMR-WB, apt-X, eAAC+, AAC, OGG",Yes,"A-GPS, GLONASS",Google Maps,32 GB,microSD,Yes,12 months,,,,,12 months,UMTS,Lithium - Ion,Capacitive,,4000 mAh,,,,,,APPLE
13-aw2068TU,,Poseidon Blue,,,,8 GB,,,"2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,1 Year Onsite Warranty,,,,Spectre x360,"60 WHr Li-ion Polymer Battery with Fast Charge Support, MU-MIMO Supported, Miracast Compatible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onsite,1 Year,Manufacturing Defects,Physical Damage,,,,,,,LPDDR4X,,,,,Lenovo
AC-7 (2G Calling),AC-7 (2G Calling),White,Wi-Fi+2G,Android,4.0.4 (Ice Cream Sandwich),512 MB,Yes,17.78 cm (7 inch),"Quick Start Guide, Headset, Charger, OTG CABLE, Tablet, USB Kit",800 x 480 pixels,2 megapixels,4 GB,1.2 GHz,Single Sim,,SD,,Cortex A8,Calling King,,,,G-Sensor,,4000 mAh,Yes,Yes,1.3 megapixels,800 x 480 pixels,Yes,,,,,Yes,No,,Yes,,"Yes, Mini USB",Yes,,IEEE 802.11 b/g,"3G Dongle Support Compatible Dongle: Reliance 3G MF190, Idea E1732",,TFT LCD,"MPEG-4, RV, 3GP, H263, WMV, AVI, H264, MP4, MPEG-1",,Yes,Yes,"WMA, MP3, AWB, WAV, M4A, RA, AMR, MP2, AAC",,,,Upto 32 GB,MicroSD,Yes,12 months,,,,,12 months,WCDMA,,Capacitive,,4000 mAh,DDR3,,,,,APPLE
A3300-GV,A7-30,White,Wi-Fi+2G,Android,4.2 Jelly Bean (Upgradeable to 4.4 KitKat),1 GB,Yes,17.78 cm (7 inch),"User Guide, Warranty Card, USB Cable, Tablet, Travel Power Adaptor",1024 x 600 pixels,2 megapixels,8 GB,1.3 GHz,Single Sim,,SD,GSM,MTK 8382 Quad Core,,"Skype, Evernote, Accuweather, Norton Mobile Security, Kingsoft Office, Route 66 Navi + Maps, SHAREit, SYNCit, Usage Time Upto 8 hrs",,Multi-touch,"G-Sensor (Accelerometer), Vibration",,3500 mAh,,Yes,0.3 megapixels,,,,,,Primary Camera: Fixed Focus Secondary Camera: Fixed Focus,Yes,No,Yes,Yes,4,,UC Browser,3.5 mm,802.11 b/g/n,"Wi-Fi Hotspot, 2G Network: GSM/EDGE 850/900/1800/1900 MHz, Data: GSM, GPRS, EDGE, WCDMA",Twisted Nematic Display,,,,,,MP3,Yes,A-GPS,Google Maps,32 GB,microSD,Yes,12 months,,,,,12 months,GSM,Lithium - Polymer,Capacitive,,3500 mAh,,,"1,39,080",24%,"1,04,990",Lenovo
SM-T385NZKAINS,Galaxy Tab A T385,Black,Wi-Fi+4G,Android,7.1 (Nougat),2 GB,Yes,20.32 cm (8 inch),"Tablet, Travel Adapter, USB Cable, Quick Start Guide, Warranty Card",1280 x 800 Pixels,8 Megapixels,16 GB,1.4 GHz,Single Sim,"1 Year on Tablet, 6 Months on Accessories",HD,LTE,,,"Smart Switch (PC Version), Available User Memory: 9.7 GB",Nano SIM,Yes,"Accelerometer, Hall Sensor",16 GB,5000 mAh,Yes,Yes,5 Megapixels,1920 x 1080 Pixels,Yes,Yes,Yes,LED,Auto Focus Rear Camera,Yes,Yes,,,v4.2,"Yes, USB 2.0",Android,3.5 mm,802.11 a/b/g/n,"Bluetooth Support, ANT+, Wi-Fi Direct",,TFT,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",Yes,Yes,Yes,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",Yes,"A-GPS, GLONASS, Beidou",Google Maps,256 GB,microSD,Yes,12 Months,Carry In,,Manufacturing Defects,Physical Damage,12 Months,"4G LTE, WCDMA, GSM",Lithium Polymer,,,Non Removable Battery,,,"21,999",13%,"18,999",Lenovo
S1,S1,Interstellar Black,,,,3 GB,,15.24 cm (6 inch),,,5MP Rear Camera,32 GB,,,6 Months manufacturer warranty for device and 3 months manufacturer warranty for in-box accessories including batteries from the date of purchase. customer Care No. 1800-180-1017,,,MediaTek,S1,,,,"Light Sensor, Proximity Sensor, Gyroscope, Fingerprint Sensor",,3500 mAh,,,5MP Front Camera,1920 x 1080,Yes,Yes,Yes,Yes,,,Yes,,Yes,4.0,,Chrome,,,,,IPS,,,,,,Yes,,Google,,Dedicated Slot,,,Repair,,Mobile Phone,Accessories,,,Lithium Polymer,,,,,,"35,500",38%,"21,999",Lenovo
Yoga 7 14ITL5 U1a,,Slate Grey,,,,16 GB,,,"2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,1 Year Onsite Warranty,,,,Yoga 7,71 WHr Li-ion Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onsite,1 Year,Manufacturing Defects,Physical Damage,,,,,,,DDR4,,"21,999",13%,"18,999",OPPO
S1,S1,Space Blue,,,,3 GB,,15.24 cm (6 inch),,,5MP Rear Camera,32 GB,,,6 Months manufacturer warranty for device and 3 months manufacturer warranty for in-box accessories including batteries from the date of purchase. customer Care No. 1800-180-1017,,,MediaTek,S1,,,,"Light Sensor, Proximity Sensor, Gyroscope, Fingerprint Sensor",,3500 mAh,,,5MP Front Camera,1920 x 1080,Yes,Yes,Yes,Yes,,,Yes,,Yes,4.0,,Chrome,,,,,IPS,,,,,,Yes,,Google,,Dedicated Slot,,,Repair,,Mobile Phone,Accessories,,,Lithium Polymer,,,,,,"36,000",40%,"21,499",Maplin
MQDY2HN/A,iPad Pro,Rose Gold,Wi-Fi Only,iOS,10,,No,26.67 cm (10.5 inch),"iPad Pro, Lightning to USB Cable, USB Power Adapter",2224 x 1668 Pixels,12 Megapixels,64 GB,,No Sim,"1 Year on Tablet, 6 Months on Accessories",Quad HD,,A10X Fusion Chip with 64‑bit Architecture with Embedded M10 Coprocessor,,"4 Speaker Audio, ProMotion Technology, Video Calling: FaceTime Video - iPad to Any FaceTime Enabled Device, Audio Calling: FaceTime Audio - iPad to Any FaceTime Enabled Device, Digital Compass, Siri: Use Voice to Send Messages, Set Reminders, and More, Accessibility: AssistiveTouch, Switch Control, Magnifier, Built-in Apps: iTunes Store, iCloud Drive, App Store, iBooks, Photo Booth, Podcasts, Find My iPhone, Find My Friends, iTunes Remote, iMovie",,Yes,"Touch ID, Three‐axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",64 GB,,Yes,Yes,7 Megapixels,,Yes,Yes,Yes,Quad LED True Tone Flash,"Rear Camera: Optical Image Stabilization, Six‑element Lens, Panorama, Sapphire Crystal Lens Cover, Backside Illumination Sensor, Hybrid IR Filter, Autofocus with Focus Pixels, Live Photos with Stabilization, Body and Face Detection, Exposure Control, Noise Reduction, Auto HDR for Photos, Burst Mode, Timer Mode, Photo Geotagging, Front Camera: 1080p HD Video Recording, Retina Flash, Auto HDR, Body and Face Detection, Auto Image Stabilization, Burst Mode, Exposure Control, Timer Mode, Video Recording: Cinematic Video Stabilization, Video Geotagging, Noise Reduction, Continuous Autofocus Video",No,No,,,v4.2,"Yes, Lightning to USB",Safari,3.5 mm,802.11 a/b/g/n/ac,Bluetooth Support,"QHD LED Backlit Multi-touch Display, Wide Color Display, True Tone Display, Fully Laminated Display, Antireflective Coating, Fingerprint-resistant Oleophobic Coating",Retina Display,"H.264, MPEG‑4, MP4, AVI, MOV",Yes,Yes,Yes,"AAC, MP3, WAV, AIFF, AAX",,,Maps,,,No,1 Year,Carry In,,Manufacturing Defects,Physical Damage,1 Year,,Li-ion Polymer,,264 ppi,Non Removable Battery,,5x,"20,000",30%,"13,999",HP
PadFone,PadFone,Black,Wi-Fi+3G,Android,4.0 (Ice Cream Sandwich),1 GB,Yes,10.92 cm (4.3 inch),"Station Dock, Sleeve, Stylus Headset",960 x 540 pixels,8 megapixels,32 GB,1.5 GHz,Single Sim,1 Year Manufacturer Warranty for the Tablet,HD,"GSM, WCDMA",Qualcomm Snapdragon S4 8260A Dual Core,,"PadFone Station (Dimensions: 273 (W) x 176.9 (D) x 13.55 (H), Weight: 724 g, Battery: 6600 mAh Lithium, Camera: 1.3 MP Primary Camera), Google Browser, Youtube Browser, SMS, MMS, IM, Google Mail / Exchange",,,"Light Sensor, Vibration Sensor (PadFone Station), Motion Sensor, G-Sensor, Proximity, e-Compass, Gyroscope",32 GB,1520 mAH,,Yes,0.3 megapixels,1080 x 1920 pixels,Yes,Yes,Yes,LED,"Primary: Auto Focus, F/2.2 Aperture, 5-Element Lens, Back-illuminated CMOS Sensor, Sonic Master",Yes,Yes,Yes,Yes,4,,,3.5 mm,IEEE 802.11 b/g/n,WLAN Support,"Multi-touch Panel, Scratch Resistant Corning Gorilla Glass with HCLR Film, Padfone Station Display: 10.1 inch, WXGA 1280 x 800, TFT with Capacitive Multi-touch Panel , Scratch Resistant Corning Gorilla Glass with HCLR Film",Super AMOLED,"H.263, H.264 1.4a, WMV, MPEG4",Yes,Yes,Yes,"MP3, 3GP, WMV, AAC",Yes,A-GPS,Google Maps,,MicroSD,Yes,12 months,,,,,12 months,WCDMA,Lithium - Ion,Capacitive,,1520 mAh,LPDDR2,,"18,000",30%,"12,499",Maplin
MTV Slash 3G,MTV Slash 3G,Silver,Wi-Fi+3G,Android,4.4.2 (KitKat),512 MB,Yes,17.78 cm (7 inch),"OTG Cable, User Manual, Headset, Warranty Card, Charger, Data Cable, Tablet, Battery",1024 x 600 pixels,2 megapixels,4 GB,1.3 GHz,Dual Sim,,SD,GSM + WCDMA,Dual Core,,"Audio Recording, Face Recognition, Preloaded Apps, Google Market, Google Play, FM Recording, Voice Navigation, Seamless Multi-tasking, Skype, Games, Flash Support 11.1",,,"G-Sensor, Accelerometer, Proximity Sensor",4 GB,3000 mAh,Yes,Yes,0.3 megapixels,,Yes,,,,,Yes,Yes,Yes,Yes,4,"Yes, Micro USB",Android,3.5 mm,802.11 b/g/n,Built-in Wi-Fi Module,HD Display,,,,,Yes,MP3,Yes,,Google Maps,32 GB,microSD,Yes,12 months,,,,,12 months,UMTS,,Capacitive,,3000 mAh,,,"25,000",36%,"15,999",Maplin
MXDH2HN/A,iPad Pro 2020 (2nd Generation),Silver,Wi-Fi Only,iPadOS,13.4,6 GB,No,27.94 cm (11 inch),"iPad Pro, USB Type C Charge Cable (1 metre), 18 W USB Type C Power Adapter, User Manual, Warranty Card",2388 x 1668 Pixels,12 Megapixels,1 TB,2.5 GHz,No Sim,1 Year Limited Hardware Warranty,Full HD,NA,A12Z Bionic Chip with 64-bit Architecture (Neural Engine) with Embedded M12 Coprocessor,,"Video Calling: FaceTime Video (iPad to Any FaceTime-enabled Device Over Wi-Fi or Mobile Data), Audio Calling: FaceTime Audio (iPad to Any FaceTime-enabled Device Over Wi-Fi or Mobile Data), Quad Audio Speaker, 5 x Studio Quality Microphones for Calls, Video Recording and Audio Recording, Digital Compass, iBeacon Micro Location, Face ID (Enabled by TrueDepth Camera for Facial Recognition, Unlock iPad, Secure Personal Data within Apps, Make Purchases from the iTunes Store, App Store and Apple Books), Siri: Use Voice to Send Messages, Set Reminders and More, Accessibility Includes VoiceOver, Magnifier, Closed Captions, Voice Control, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen, Supports Dolby Vision and HDR10 Content",,Yes,"Face ID, LiDAR Scanner, Three-axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",1 TB,,Yes,Yes,7 Megapixels,"4K, 1080P, 720P pixels",Yes,Yes,Yes,Yes,"Rear Camera: 12 MP (Wide) + 10 MP (Ultra Wide), F/1.8 Aperture (12 MP), F/2.4 Aperture and 125 Degree Field of View (10 MP), Five Element Lens (Wide and Ultra Wide), Brighter True Tone Flash, Panorama (Upto 63 MP), Sapphire Crystal Lens Cover, Backside Illumination Sensor, Hybrid IR Filter, Autofocus with Focus Pixels (Wide), Tap to Focus with Focus Pixels (Wide), Wide Color Capture for Photos and Live Photos, Exposure Control, Noise Reduction, Smart HDR for Photos, Auto Image Stabilisation, Burst Mode, Timer Mode, Photo Geotagging, Image Formats Captured: HEIF and JPEG, Slow‑motion Video Support for 1080p at 120 fps or 240 fps (Wide) and 240 fps (Ultra Wide), Time Lapse Video with Stabilisation, Continuous Autofocus Video, Video Geotagging, Video Formats Captured: HEVC and H.264, Front Camera: Animoji and Memoji, Portrait Mode, Portrait Lighting, Retina Flash, F/2.2 Aperture, Smart HDR, Auto Image Stabilisation, Burst Mode, Exposure Control, Timer Mode, Wide Color Capture for Photos and Live Photos",No,No,,,v5.0,"Yes, USB Type C",Safari,,802.11ax (Wi-Fi 6),"Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity, HT80 with MIMO","LED Backlit Multi Touch Liquid Retina Display with Fingerprint Resistant Oleophobic Coating Fully Laminated Display, ProMotion Technology, Wide Color Display (P3), True Tone Display, 600 nits Brightness, Anti-reflective Coating, 1.8% Reflectivity",IPS,"H.264 Video Upto 4K, 30 Frames Per Second, High Profile Level 4.2 with AAC‑LC Audio Upto 160 Kbps, 48 kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48 kHz, Stereo or Multichannel Audio in .m4v, .mp4 and .mov File Formats, MPEG-4 Video Upto 2.5 Mbps, 640 x 480 Pixels, 30 Frames Per Second, Simple Profile with AAC‑LC Audio Upto 160 Kbps Per Channel, 48 kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48 kHz, Stereo or Multichannel Audio in .m4v, .mp4 and .mov File Formats, Motion JPEG (M‑JPEG) Upto 35 Mbps, 1280 x 720 Pixels, 30 Frames Per Second, Audio in Ulaw, PCM Stereo Audio in .avi File Format",Yes,Yes,Yes,"AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Dolby Atmos, Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Apple Lossless, AIFF and WAV",Yes,"A-GPS, GLONASS",Maps,,,No,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium Polymer,,264 PPI,,,5x,"25,000",44%,"13,999",APPLE
ZA450000IN,TAB P10,Aurora Black,Wi-Fi+4G,Android,8.0 (Oreo),3 GB,No,25.65 cm (10.1 inch),"Tablet, Travel Adapter, USB Cable, Quick Start Guide, Warranty Card, SIM Pin, Safety Guide",1920 x 1200 pixels,8 MP,32 GB,1.8 GHz,Single Sim,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,Full HD,LTE,Qualcomm Snapdragon 450,,,Nano Sim,Multi Touch,"G-Sensor, L-Sensor, Hall Sensor, Vibrator, Fingerprint Sensor",32 GB,7000 mAh,,Yes,5 MP,,Yes,,,,,Yes,Yes,,,v4.2,"Yes, USB 2.0",Android,3.5 mm,802.11 a/b/g/n/ac (Dual Band),,Full HD LED Backlit Multi Touch Display,IPS,,Yes,,,,,,,,,,1 Year,Carry In,1 Year,,,1 Year,"4G LTE, UMTS, GSM",Li-ion Polymer,Capacitive 10-piont Multi touch,,,,,"6,250",8% ,"5,750",I kall
Lenovo B8000AH16GSL-IN,Yoga 10,,Wi-Fi+3G,Android,4.2 (Jelly Bean),1 GB,No,25.4 cm (10 inch),,1280 x 800 pixels,5 megapixels,16 GB,1.2 GHz,No Sim,,HD,,MT 8389 Quad Core,,"Integrated Stereo Speakers with Dolby Digital Plus, Integrated Microphone with Noise Reduction, Multimode Design, Kickstand, Battery Life: 18 hrs, Crisp and Clear Video Chats",,,,,,,Yes,1.6 megapixels,,,,,,Auto Focus,Yes,Yes,,,4,"Yes, Micro USB",Android,3.5 mm,802.11 b/g/n,OTG Cable,"HD IPS Display, 178 Deg Wide Viewing Angle",,,,,Yes,MP3,Yes,,Google Maps,64 GB,microSD,Yes,12 months,,,,,12 months,,,,,,LPDDR2,,"21,999",13%,"18,999",LAVA
Canvas Tab P701,Canvas Tab P701,Grey,Wi-Fi+4G,Android,5.1 (Lollipop),1 GB,Yes,17.78 cm (7 inch),"OTG Cable, Earphones, Charger, USB Cable, Screen Guard, Tablet",1024 X 600 Pixels,5 Megapixels,8 GB,1 GHz,Dual Sim,,,"LTE, LTE",Quad Core,,"Playing HD Games, Social Media, Productivity (Documents and All), Stay Charged and Productive All Day Long with 3500 mAh Battery, Battery Saver",,,,8 GB,3500 mAh,Yes,Yes,2 Megapixels,,,,,,"Primary Camera: Auto Focus; Secondary Camera: Fixed Focus, Selfies, HD Video Chatting",Yes,Yes,,,4,Yes,"Android, Opera MaX",,,"Bluetooth Support, OTG Support","WXGA IPS Display, Built-in Backlight",AMOLED,,,,Yes,MP3,,,,32 GB,microSD,Yes,12 months,,1 Year,,,12 months,4G LTE,Lithium - Polymer,,,,,,"6,529",No-discount,"6,529",Tecno
Canvas Tab P701,Canvas Tab P701,Blue,Wi-Fi+4G,Android,5.1 (Lollipop),1 GB,Yes,17.78 cm (7 inch),"OTG Cable, Earphones, Charger, USB Cable, Screen Guard, Tablet",1024 X 600 Pixels,5 Megapixels,8 GB,1 GHz,Dual Sim,1 Year,,"LTE, LTE",Quad Core,,"Playing HD Games, Social Media, Productivity (Documents and All), Stay Charged and Productive All Day Long with 3500 mAh Battery, Battery Saver",,,,8 GB,3500 mAh,Yes,Yes,2 Megapixels,,,,,,"Primary Camera: Auto Focus; Secondary Camera: Fixed Focus, Selfies, HD Video Chatting",Yes,Yes,,,4,Yes,"Android, Opera MaX",,,"Bluetooth Support, OTG Support","WXGA IPS Display, Built-in Backlight",IPS,,,,Yes,MP3,,,,32 GB,microSD,Yes,12 months,,1 Year,Warranty of the Product is Limited to Manufacturing Defects Only,Warranty doesn't cover any physical damages,12 months,4G LTE,Lithium - Polymer,,,,,,"37,900",,"37,825",APPLE
MU1M2HN/A,iPad Pro (2018),Silver,Wi-Fi+4G,iOS,12,,No,27.94 cm (11 inch),"iPad Pro, USB Type C Charge Cable (1 m), 18 W USB Type C Power Adapter, User Manual, Warranty Card",2388 x 1668 Pixels,12 Megapixels,512 GB,,Single Sim,1 Year Manufacturer Warranty for Device and In-box Accessories Including Battery from the Date of Purchase,Full HD,LTE,"A12x Bionic Chip, 64-bit Architecture with Neural Engine and Embedded M12 Co-processor",,"Face ID: Enabled by TrueDepth Camera for Facial Recognition, Unlock iPad, Secure Personal Data within Apps, Video Calling Video: FaceTime - iPad to Any FaceTime Enabled Device Over Wi-Fi or Cellular, Audio Calling: FaceTime Audio - iPad to Any FaceTime Enabled Device Over Wi-Fi or Cellular, Four Speakers Audio, Five Microphones for Calls, Video Recording, and Audio Recording",Nano SIM,Yes,"Face ID, 3-axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",512 GB,,Yes,Yes,7 Megapixels,,Yes,Yes,Yes,Quad LED True Tone Flash,"Primary Camera: Autofocus with Focus Pixels, Tap to Focus with Focus Pixels, F/1.8 Aperture, Five Element Lens, Panorama, Sapphire Crystal Lens Cover, Backside Illumination Sensor, Hybrid IR Filter, Wide Color Capture for Photos and Live Photos, Exposure Control, Noise Reduction, Smart HDR for Photos, Auto Image Stabilization, Burst Mode, Timer Mode, Photo Geotagging, Image Formats Captured: HEIF and JPEG, 4K Video Recording, Slow-motion Video Support for 1080P at 120 fps and 720P at 240 fps, Time Lapse Video with Stabilization, Cinematic Video Stabilization, Continuous Autofocus Video, Take 8 Megapixel Still Photos while Recording 4K Video, Video Geotagging, Video Formats Captured: HEVC and H.264, Secondary Camera: Portrait Mode, Portrait Lighting, Animoji and Memoji, Retina Flash, F/2.2 Aperture, Smart HDR, Auto Image Stabilization, Burst Mode, Exposure Control, Timer Mode",Yes,Yes,Yes,Yes,v5.0,"Yes, USB Type C",Safari,,802.11 a/b/g/n/ac,"Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity","LED Backlit Liquid Retina Display with Multi Touch IPS Technology, ProMotion Technology, Wide Color Display (P3), True Tone Display, Fingerprint Resistant Oleophobic Coating, Fully Laminated Display, Anti-reflective Coating, 1.8% Reflectivity, 600 Nits Brightness",IPS,"H.264, MPEG-4, M4V, MP4, MOV, M-JPEG, AVI",Yes,Yes,Yes,"AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX, and AAX+), Apple Lossless, AIFF, and WAV",Yes,"A-GPS, GLONASS, Galileo, QZSS",Maps,,,No,1 Year,Carry In,,Manufacturing Defects,Physical Damage,1 Year,"GSM, WCDMA, 4G LTE",Lithium Polymer,,264 PPI,,,5x,"13,500",29%,"9,499",TCL
Inspiron 7306,,Black,,,,16 GB,,,"2 in 1 Laptop, Power Adaptor, Battery, Active Pen, User Guide, Warranty Documents",,,,,,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",,,,Inspiron,Li-ion Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onsite,1 Year,Manufacturing Defects,Accidental Damage,,,,,,,LPDDR4X,,"14,000",28%,"9,999",TCL
